tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0,0.578,0.695,0.996,0.999,0.695,0.393,0.841
100,0.825,0.553,0.156,0.985,0.560,0.949,0.876
200,0.836,0.589,0.237,0.989,0.594,0.941,0.883
300,0.844,0.627,0.324,0.991,0.631,0.929,0.886
400,0.849,0.661,0.402,0.992,0.664,0.920,0.887
500,0.852,0.690,0.471,0.993,0.693,0.908,0.887
600,0.855,0.719,0.541,0.994,0.722,0.897,0.887
700,0.857,0.743,0.601,0.995,0.746,0.885,0.886
800,0.855,0.760,0.646,0.995,0.762,0.873,0.886
900,0.854,0.774,0.687,0.996,0.776,0.861,0.886
1000,0.853,0.787,0.724,0.997,0.788,0.850,0.885
